model_idx,sub_idx,configured_Cs,configured_BP,estimated_Cs,estimated_BP,configured_mean_samples
2,16,-3.375,-50,-4.04454920040784,-21.7584821804018,5.32
2,17,-3.375,-50,0.184518705350683,40.8574350935456,5.32
2,18,-3.375,-50,-3.45178639411311,-86.0961379300805,5.32
2,19,-3.375,-50,2.32894422636703,28.0428131828699,5.32
2,20,-3.375,-50,3.9193849595863,47.9006622135466,5.32
3,1,-1.25,-50,11.2638510765021,31.2130783951233,3.62
3,2,-1.25,-50,-0.276546486447387,-3.29118633765437,3.62
3,3,-1.25,-50,3.66749855363719,17.8035126974872,3.62
3,4,-1.25,-50,0.961131538320004,13.8056648197667,3.62
3,5,-1.25,-50,4.25616112027119,6.76633341701837,3.62
3,6,-1.25,-50,-0.589171830694596,-14.5447421823996,3.62
3,7,-1.25,-50,2.25919379326646,4.53434042301912,3.62
3,8,-1.25,-50,-1.00277485395918,-20.3798280977114,3.62
3,9,-1.25,-50,2.63109960391348,9.42254255700344,3.62
3,10,-1.25,-50,3.41896447663976,15.480146946545,3.62
3,11,-1.25,-50,7.86491415100414,23.2636593021303,3.62
3,12,-1.25,-50,-0.191970019697834,1.85727476936528,3.62
3,13,-1.25,-50,10.3012527522026,30.8912204282353,3.62
3,14,-1.25,-50,0.145033684660405,-7.55702812595311,3.62
3,15,-1.25,-50,-0.327543201285266,-5.40431693252356,3.62
3,16,-1.25,-50,-1.08014095571353,-7.78601684640559,3.62
3,17,-1.25,-50,-0.221734390119778,-5.63201264526069,3.62
3,18,-1.25,-50,1.68577714917852,15.1348318806258,3.62
3,19,-1.25,-50,-1.5002424960167,-40.1542687018797,3.62
3,20,-1.25,-50,1.88642110208232,3.70283452489622,3.62
4,1,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,2,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,3,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,4,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,5,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,6,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,7,0.875,-50,11.5498670758253,-11.3109360716133,1.04
4,8,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,9,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,10,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,11,0.875,-50,73.5309008059831,-53.9750657951515,1.04
4,12,0.875,-50,21.8169393805645,3.35875814093998,1.04
4,13,0.875,-50,7.76817971433744,-22.6567498268457,1.04
4,14,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,15,0.875,-50,30.9016994374947,-2.8421709430404e-14,1.04
4,16,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,17,0.875,-50,20.791169081776,-30.9016994374948,1.04
4,18,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,19,0.875,-50,58.1492071288028,-30.5325997695115,1.04
4,20,0.875,-50,58.1492071288028,-30.5325997695115,1.04
5,1,3,-50,58.1492071288028,-30.5325997695115,1
5,2,3,-50,58.1492071288028,-30.5325997695115,1
5,3,3,-50,58.1492071288028,-30.5325997695115,1
5,4,3,-50,58.1492071288028,-30.5325997695115,1
5,5,3,-50,58.1492071288028,-30.5325997695115,1
5,6,3,-50,58.1492071288028,-30.5325997695115,1
5,7,3,-50,58.1492071288028,-30.5325997695115,1
5,8,3,-50,58.1492071288028,-30.5325997695115,1
5,9,3,-50,58.1492071288028,-30.5325997695115,1
5,10,3,-50,58.1492071288028,-30.5325997695115,1
5,11,3,-50,73.5309008059831,-53.9750657951515,1
5,12,3,-50,58.1492071288028,-30.5325997695115,1
5,13,3,-50,73.5309008059831,-53.9750657951515,1
5,14,3,-50,58.1492071288028,-30.5325997695115,1
5,15,3,-50,30.9016994374947,-2.8421709430404e-14,1
5,16,3,-50,58.1492071288028,-30.5325997695115,1
5,17,3,-50,20.791169081776,-30.9016994374948,1
5,18,3,-50,58.1492071288028,-30.5325997695115,1
5,19,3,-50,58.1492071288028,-30.5325997695115,1
