Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
3,15,Biased-prior,Biased-prior,7,-0.0034821721744636,0.0542043009914304,-45.6306407965621,-0.00721279536188002,0.751893087381163,-53.0518984588897,-7.42125766232765
3,15,Cost-to-sample,Biased-prior,7,-0.170643765447859,0.996951826772714,-51.689718981388,-0.00445996414865681,0.998994868853905,-57.5097799311213,-5.82006094973329
3,16,Biased-prior,Biased-prior,7,-0.0164611673268577,0.340533728941351,-39.2722189663449,-0.011409975860883,0.831362012916593,-46.8720443070805,-7.59982534073556
3,16,Cost-to-sample,Biased-prior,7,-0.18042334959694,0.994199336071962,-46.3861660488276,-0.00356594766979051,0.995364425260122,-46.0097412301116,0.376424818716011
3,17,Biased-prior,Biased-prior,7,-0.000179594131496603,9.18438590220561e-05,-42.0841729519657,-0.0087070763201582,0.647729060574108,-47.4411026626603,-5.35692971069455
3,17,Cost-to-sample,Biased-prior,7,-0.175615212538862,0.997835954517207,-53.6918253198902,-0.00382496743406125,0.999256030622341,-59.2200586500649,-5.52823333017471
3,18,Biased-prior,Biased-prior,7,-0.000233211235642417,0.000364645451398693,-48.0804998013575,-0.00631516530881892,0.8025275267856,-57.4871292320375,-9.40662943068001
3,18,Cost-to-sample,Biased-prior,7,-0.168454073382553,0.999459628474219,-63.9984008510677,-0.00158664476877078,0.999725629238868,-66.7969267561349,-2.79852590506714
3,19,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,19,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,20,Biased-prior,Biased-prior,5,0.0152968720626676,0.997521507353816,-65.1045730824488,0.000504503190639277,0.99904056015335,-68.2404163166295,-3.13584323418065
3,20,Cost-to-sample,Biased-prior,5,-0.1693225706856,0.99355158290372,-36.262141541534,-0.00982219592410354,0.998232230387263,-41.1232838444666,-4.86114230293253
3,21,Biased-prior,Biased-prior,7,0.0159592415019907,0.93248299956408,-62.7104606273457,-0.00111945863726085,0.946247288705683,-62.3604476906886,0.350012936657116
3,21,Cost-to-sample,Biased-prior,7,-0.164930415750024,0.997591393820365,-53.8194305603167,-0.0043403951842442,0.999664067760417,-65.66277868259,-11.8433481222733
3,22,Biased-prior,Biased-prior,2,0.00813093109232366,1,-72.0873067782343,NaN,NaN,NaN,NaN
3,22,Cost-to-sample,Biased-prior,2,-0.187260831077982,1,-72.0873067782343,NaN,NaN,NaN,NaN
3,23,Biased-prior,Biased-prior,7,-0.00334525240410492,0.0575829097711033,-46.6405481052023,-0.00663802727110082,0.73778058479632,-53.6495022775672,-7.00895417236482
3,23,Cost-to-sample,Biased-prior,7,-0.168725586217905,0.997466121489946,-53.1451313852094,-0.00133418564171939,0.997653228492881,-51.7361952959849,1.40893608922453
3,24,Biased-prior,Biased-prior,5,0.00508519881975835,0.893168265725418,-56.7471996361417,-0.00140221236317525,0.988244731305347,-66.1725291244972,-9.4253294883555
